SYMBOL,NAME OF COMPANY,SECTOR
20MICRONS,20 Microns Limited,Mining & Minerals (Specialty Chemicals)
21STCENMGM,21st Century Management Services Limited,Financial Services (Investment & Brokerage)
360ONE,360 ONE WAM LIMITED,Finance (Wealth & Asset Management)
3IINFOLTD,3i Infotech Limited,IT Software & Services
3MINDIA,3M India Limited,Diversified / Consumer Goods & Industrial
3PLAND,3P Land Holdings Limited,Real Estate / Property
5PAISA,5Paisa Capital Limited,Financial Services (Online Broking)
63MOONS,63 moons technologies limited,IT Software (FinTech)
A2ZINFRA,A2Z Infra Engineering Limited,Infrastructure / Engineering
AAATECH,AAA Technologies Limited,IT / Cybersecurity Auditing
AADHARHFC,Aadhar Housing Finance Limited,Financial Services (Housing Finance)
AAKASH,Aakash Exploration Services Limited,Oil & Gas (Services)
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Pharmaceuticals
AARON,Aaron Industries Limited,Engineering (Elevator & Electrical)
AARTECH,Aartech Solonics Limited,Power Systems / Engineering
AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals (APIs & Intermediates)
AARTIIND,Aarti Industries Limited,Chemicals (Specialty Chemicals)
AARTIPHARM,Aarti Pharmalabs Limited,Pharmaceuticals
AARTISURF,Aarti Surfactants Limited,FMCG / Chemicals (Surfactants & Specialty Products)
AARVI,Aarvi Encon Limited,Technical Staffing / Engineering Services
AAVAS,Aavas Financiers Limited,Financial Services (Housing Finance)
ABAN,Aban Offshore Limited,Energy (Oil & Gas Drilling Services)
ABB,ABB India Limited,Heavy Engineering (Power & Automation)
ABBOTINDIA,Abbott India Limited,Pharmaceuticals / Healthcare
ABCAPITAL,Aditya Birla Capital Limited,Financial Services (Diversified)
ABCOTS,A B Cotspin India Limited,Textiles (Yarn & Cotton)
ABDL,Allied Blenders and Distillers Limited,Beverages (Alcoholic Spirits)
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Discretionary (Apparel & Fashion)
ABINFRA,A B Infrabuild Limited,Infrastructure / Construction
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Goods / Retail
ABMINTLLTD,ABM International Limited,Trading (Plastic Raw Materials)
ABREL,Aditya Birla Real Estate Limited,Real Estate / Property Development
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services (Asset Management/Mutual Funds)
ACC,ACC Limited,Building Materials (Cement)
ACCELYA,Accelya Solutions India Limited,IT - Software (Aviation & Travel)
ACCURACY,Accuracy Shipping Limited,Logistics (3PL)
ACE,Action Construction Equipment Limited,Capital Goods (Construction Machinery)
ACEINTEG,Ace Integrated Solutions Limited,HR Services & Exam Management
ACI,Archean Chemical Industries Limited,Specialty Chemicals (Marine)
ACL,Andhra Cements Limited,Building Materials (Cement)
ACMESOLAR,Acme Solar Holdings Limited,Renewable Energy (Solar)
ACUTAAS,Acutaas Chemicals Limited,Specialty Chemicals / Pharma
ADANIENSOL,Adani Energy Solutions Limited,Power Transmission & Distribution
ADANIENT,Adani Enterprises Limited,Diversified Infrastructure
ADANIGREEN,Adani Green Energy Limited,Renewable Energy
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Transport (Ports & Logistics)
ADANIPOWER,Adani Power Limited,Power Generation
ADFFOODS,ADF Foods Limited,Food Processing
ADL,Archidply Decor Limited,Wood Products & Interior Decor
ADOR,Ador Welding Limited,Industrial Manufacturing (Welding)
ADROITINFO,Adroit Infotech Limited,IT Consulting & Software
ADSL,Allied Digital Services Limited,IT Services & Solutions
ADVAIT,Advait Energy Transitions Limited,Power & Green Energy
ADVANCE,Advance Agrolife Limited,Agrochemicals
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hospitality (Hotels)
ADVENTHTL,Advent Hotels International Limited,Hospitality (Hotels)
ADVENZYMES,Advanced Enzyme Technologies Limited,Healthcare / Biotech
AEGISLOG,Aegis Logistics Limited,Oil & Gas Logistics
AEGISVOPAK,Aegis Vopak Terminals Limited,Storage & Terminals
AEQUS,Aequs Limited,Precision Manufacturing (Aerospace)
AEROENTER,Aeroflex Enterprises Limited,Industrial Products
AEROFLEX,Aeroflex Industries Limited,Industrial Products (Metallic Hoses)
